"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 03 01:53:50 GMT 2024","Thu Oct 03 01:54:04 GMT 2024","13290","tests","specialists_page_test","TestSpecialistsPage","","","Verify attributes of images in specialist cards in the grid",""
"skipped","Thu Oct 03 01:56:41 GMT 2024","Thu Oct 03 01:57:01 GMT 2024","20152","tests","Speech exercises EN.","TestCardsEN","","","Select a random card from ""Similar phrases"" group and compare UI vs BACKEND data",""
"passed","Thu Oct 03 01:58:41 GMT 2024","Thu Oct 03 01:58:53 GMT 2024","12109","tests","Речевые упражнения.","TestCardsRU","","","Select a random card from ""Группа слов"" group and compare UI vs BACKEND data.",""
"passed","Thu Oct 03 02:03:44 GMT 2024","Thu Oct 03 02:03:44 GMT 2024","323","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify value of the title of the tab",""
"passed","Thu Oct 03 01:43:23 GMT 2024","Thu Oct 03 01:43:23 GMT 2024","55","tests","contacts_page_test","TestContactsPage","","","Verify values of the title and subtitles with tags h1, h2 on the page",""
"passed","Thu Oct 03 01:43:35 GMT 2024","Thu Oct 03 01:43:36 GMT 2024","32","tests","contacts_page_test","TestContactsPage","","","Verify text in links in the section 2",""
"passed","Thu Oct 03 01:50:16 GMT 2024","Thu Oct 03 01:50:16 GMT 2024","684","tests","main_page_test","TestMainPage","","","Verify redirection to specialists page not authorized user.",""
"passed","Thu Oct 03 01:54:15 GMT 2024","Thu Oct 03 01:54:15 GMT 2024","39","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify presence and visibility of content on the page",""
"passed","Thu Oct 03 01:52:54 GMT 2024","Thu Oct 03 01:52:54 GMT 2024","14","tests","specialists_page_test","TestSpecialistsPage","","","Verify value of the title of the tab",""
"passed","Thu Oct 03 02:04:28 GMT 2024","Thu Oct 03 02:04:30 GMT 2024","1937","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify that links in the sections lead to the correct pages after clicking",""
"passed","Thu Oct 03 01:54:54 GMT 2024","Thu Oct 03 01:54:54 GMT 2024","871","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify presence, visibility, clickability, href, status code 
                         of the 'Login' link in the section 1",""
"passed","Thu Oct 03 01:51:35 GMT 2024","Thu Oct 03 01:51:36 GMT 2024","757","tests","registration_page_test","TestRegistrationPage","","","Check registration with new email and empty password",""
"passed","Thu Oct 03 01:45:08 GMT 2024","Thu Oct 03 01:45:08 GMT 2024","138","tests","description_page_test","TestDescriptionPage","","","Verify return main page from description page.",""
"passed","Thu Oct 03 01:51:47 GMT 2024","Thu Oct 03 01:51:47 GMT 2024","744","tests","registration_page_test","TestRegistrationPage","","","Check registration with new email and empty birthday",""
"passed","Thu Oct 03 01:48:37 GMT 2024","Thu Oct 03 01:48:39 GMT 2024","2072","tests","header_test","TestHeaderPage","","","Verify if external links in the Header lead to correct pages after click",""
