"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 16 15:25:34 GMT 2024","Fri Feb 16 15:26:01 GMT 2024","27090","tests","Слова Королёвой.","TestCardsRU","","","Solutions to a random task in the ""Слова Королёвой"" .",""
"passed","Fri Feb 16 15:23:26 GMT 2024","Fri Feb 16 15:23:41 GMT 2024","14750","tests","Группа слов","TestCardsRU","","","Select a random card from ""Группа слов"" group and compare UI vs BACKEND data.",""
"passed","Fri Feb 16 15:22:43 GMT 2024","Fri Feb 16 15:22:57 GMT 2024","14040","tests","Слова Королёвой.","TestCardsRU","","","Select random card from group ""Слова Королёвой"" and compare UI vs BACKEND data.",""
"passed","Fri Feb 16 15:23:47 GMT 2024","Fri Feb 16 15:24:01 GMT 2024","13475","tests","Предложения.","TestCardsRU","","","Select a random card from ""Предложения"" group and compare UI vs BACKEND data.",""
"passed","Fri Feb 16 15:27:19 GMT 2024","Fri Feb 16 15:27:21 GMT 2024","1837","tests","Statistic.","TestCardsRU","","","Check statistic table.",""
"passed","Fri Feb 16 15:26:07 GMT 2024","Fri Feb 16 15:27:13 GMT 2024","65757","tests","Слова.","TestCardsRU","","","Solutions to a random task in the ""Слова"" group and comparison of statics.",""
"passed","Fri Feb 16 15:23:03 GMT 2024","Fri Feb 16 15:23:20 GMT 2024","16671","tests","Похожие фразы","TestCardsRU","","","Select a random card from ""Похожие фразы"" group and compare UI vs BACKEND data.",""
"passed","Fri Feb 16 15:24:27 GMT 2024","Fri Feb 16 15:25:27 GMT 2024","59376","tests","Слова.","TestCardsRU","","","Solutions to a random task in the ""Слова"" .",""
"passed","Fri Feb 16 15:24:07 GMT 2024","Fri Feb 16 15:24:21 GMT 2024","13975","tests","Слова с частотной группировкой","TestCardsRU","","","Select a random card from ""Слова с частотной группировкой"" group and compare UI vs BACKEND data.",""
"passed","Fri Feb 16 15:22:00 GMT 2024","Fri Feb 16 15:22:36 GMT 2024","36809","tests","Слова.","TestCardsRU","","","Select random card from group ""Слова"" and compare UI vs BACKEND data.",""
